published,impact,av-attack-vector,av-attack-complexity,av-privileges-required,av-user-interaction,av-scope,av-confidentiality,av-integrity,av-availability
1997-02-03T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-02-05T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-02-06T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-02-07T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-02-10T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-02-13T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-02-20T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-03-01T05:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1997-03-01T05:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1997-03-01T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-03-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-03-01T05:00:00.000,0.0,N,L,Null,Null,Null,N,N,N
1997-03-01T05:00:00.000,6.4,N,H,Null,Null,Null,P,P,P
1997-03-04T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-03-05T05:00:00.000,10.0,N,M,Null,Null,Null,C,C,C
1997-03-05T05:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1997-03-14T05:00:00.000,6.4,N,H,Null,Null,Null,P,P,P
1997-04-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-04-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-04-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-04-02T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-04-07T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-04-07T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-04-17T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-04-19T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-04-26T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-04-29T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-01T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-01T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-03T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-04T04:00:00.000,6.4,N,H,Null,Null,Null,P,P,P
1997-05-05T04:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
1997-05-06T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-05-07T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-05-07T04:00:00.000,10.0,L,H,Null,Null,Null,C,C,C
1997-05-07T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-09T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-09T04:00:00.000,10.0,L,H,Null,Null,Null,C,C,C
1997-05-13T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-13T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-05-14T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-15T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-05-16T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-17T04:00:00.000,2.9,L,L,Null,Null,Null,N,P,N
1997-05-19T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-19T04:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1997-05-21T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-05-23T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-05-26T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-26T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-28T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-29T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-05-29T04:00:00.000,6.4,N,H,Null,Null,Null,P,P,P
1997-06-01T04:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1997-06-01T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-06-01T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-06-01T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-06-04T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-06-10T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-06-11T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-06-12T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-06-13T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-06-18T04:00:00.000,2.9,L,L,Null,Null,Null,N,P,N
1997-06-19T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-06-24T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-06-26T04:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1997-07-01T04:00:00.000,4.9,N,L,Null,Null,Null,P,P,N
1997-07-01T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-07-01T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-07-01T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-07-01T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-07-01T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-07-01T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-07-01T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-07-01T04:00:00.000,4.9,N,L,Null,Null,Null,N,P,P
1997-07-01T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-07-01T04:00:00.000,6.9,N,L,Null,Null,Null,N,N,C
1997-07-01T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-07-01T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-07-01T04:00:00.000,0.0,N,L,Null,Null,Null,N,N,N
1997-07-01T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-07-01T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-07-01T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-07-04T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-07-08T04:00:00.000,2.9,N,H,Null,Null,Null,P,N,N
1997-07-08T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-07-10T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-07-10T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-07-14T04:00:00.000,6.9,N,M,Null,Null,Null,C,N,N
1997-07-15T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
